Growth rate (1/h),RNA/Protein
0.029912023460410497, 0.1074074074074074
0.10909090909090902, 0.1207407407407407
0.27976539589442806, 0.15481481481481474
0.32903225806451597, 0.1429629629629629
0.36070381231671544, 0.15259259259259256
0.39941348973607027, 0.1518518518518518
0.42052785923753655, 0.16296296296296292
0.6897360703812313, 0.21037037037037032
0.6897360703812313, 0.19259259259259257
0.8604105571847506, 0.20518518518518514
0.9607038123167152, 0.23851851851851846
1.001173020527859, 0.24148148148148144
1.0398826979472138, 0.24740740740740735
