Gene,Sign,locus
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
gabP,+,b2663
gabT,+,b2662
gabD,+,b2661
lhgD,+,b2660
glaH,+,b2659
gabP,+,b2663
gabT,+,b2662
gabD,+,b2661
lhgD,+,b2660
glaH,+,b2659
gabP,+,b2663
gabT,+,b2662
gabD,+,b2661
lhgD,+,b2660
glaH,+,b2659
gabP,-,b2663
gabT,-,b2662
gabD,-,b2661
lhgD,-,b2660
glaH,-,b2659
gabP,-,b2663
gabT,-,b2662
gabD,-,b2661
lhgD,-,b2660
glaH,-,b2659
gabP,+,b2663
gabT,+,b2662
gabD,+,b2661
lhgD,+,b2660
glaH,+,b2659
csiE,+,b2535
csiE,+,b2535
csiE,+,b2535
csiE,+,b2535
cspA,+,b3556
cspA,+,b3556
cspA,+,b3556
cspA,+,b3556
cspA,+,b3556
cspA,-,b3556
cspA,-,b3556
cspA,-,b3556
cspA,-,b3556
cspA,-,b3556
cspA,-,b3556
cspD,-,b0880
cspD,-,b0880
cspD,+,b0880
cspD,+,b0880
cspD,+,b0880
cspD,+,b0880
cspE,-,b0623
cspE,+,b0623
cspI,+,b1552
cspI,-,b1552
cspI,-,b1552
cspI,-,b1552
cspI,-,b1552
cspI,-,b1552
cspI,-,b1552
csqR,+,b3884
csqR,-,b3884
csqR,-,b3884
csrB,+,b4408
csrB,+,b4408
csrC,-,b4457
csrC,-,b4457
csrC,-,b4457
csrC,+,b4457
cstA,+,b0598
cueO,+,b0123
cusA,+,b0575
cusB,+,b0574
cusF,+,b0573
cusC,+,b0572
cusA,+,b0575
cusB,+,b0574
cusF,+,b0573
cusC,+,b0572
cusA,+,b0575
cusB,+,b0574
cusF,+,b0573
cusC,+,b0572
cusS,+,b0570
cusR,+,b0571
cusS,+,b0570
cusR,+,b0571
cusS,+,b0570
cusR,+,b0571
ubiX,-,b2311
purF,-,b2312
cvpA,-,b2313
cyaA,-,b3806
cyaR,+,b4438
cyaR,-,b4438
cyaR,+,b4438
cyaR,-,b4438
cyaR,+,b4438
cyaR,-,b4438
cydA,+,b0733
cydB,+,b0734
cydA,+,b0733
cydB,+,b0734
cydA,+,b0733
cydB,+,b0734
cydA,+,b0733
cydB,+,b0734
cydA,+,b0733
cydB,+,b0734
cydA,-,b0733
cydB,-,b0734
cydA,-,b0733
cydB,-,b0734
cydA,-,b0733
cydB,-,b0734
cydA,+,b0733
cydB,+,b0734
cydB,+,b0734
cydA,+,b0733
cydB,-,b0734
cydA,-,b0733
cydB,+,b0734
cydA,+,b0733
cydB,-,b0734
cydA,-,b0733
cydB,+,b0734
cydA,+,b0733
cydB,-,b0734
cydA,-,b0733
cydB,-,b0734
cydA,-,b0733
cydB,-,b0734
cydA,-,b0733
cydB,+,b0734
cydA,+,b0733
cydB,-,b0734
cydA,-,b0733
cydB,-,b0734
cydA,-,b0733
cydB,-,b0734
cydA,-,b0733
cydB,+,b0734
cydA,+,b0733
cydB,+,b0734
cydA,+,b0733
cydC,+,b0886
cydD,+,b0887
cydC,+,b0886
cydD,+,b0887
cydC,+,b0886
cydD,+,b0887
cydC,+,b0886
cydD,+,b0887
cynR,-,b0338
cynR,-,b0338
cynS,+,b0340
cynT,+,b0339
cynX,+,b0341
cynS,+,b0340
cynT,+,b0339
cynX,+,b0341
cyoE,+,b0428
cyoD,+,b0429
cyoC,+,b0430
cyoB,+,b0431
cyoA,+,b0432
cyoE,+,b0428
cyoD,+,b0429
cyoC,+,b0430
cyoB,+,b0431
cyoA,+,b0432
cyoE,+,b0428
cyoD,+,b0429
cyoC,+,b0430
cyoB,+,b0431
cyoA,+,b0432
cyoE,+,b0428
cyoD,+,b0429
cyoC,+,b0430
cyoB,+,b0431
cyoA,+,b0432
cyoE,-,b0428
cyoD,-,b0429
cyoC,-,b0430
cyoB,-,b0431
cyoA,-,b0432
cyoE,-,b0428
cyoD,-,b0429
cyoC,-,b0430
cyoB,-,b0431
cyoA,-,b0432
cyoE,+,b0428
cyoD,+,b0429
cyoC,+,b0430
cyoB,+,b0431
cyoA,+,b0432
cyoE,-,b0428
cyoD,-,b0429
cyoC,-,b0430
cyoB,-,b0431
cyoA,-,b0432
cyoE,-,b0428
cyoD,-,b0429
cyoC,-,b0430
cyoB,-,b0431
cyoA,-,b0432
cyoE,-,b0428
cyoD,-,b0429
cyoC,-,b0430
cyoB,-,b0431
cyoA,-,b0432
cyoE,-,b0428
cyoD,-,b0429
cyoC,-,b0430
cyoB,-,b0431
cyoA,-,b0432
cysB,-,b1275
cysB,+,b1275
cysC,+,b2750
cysN,+,b2751
cysD,+,b2752
cysE,-,b3607
cysH,+,b2762
cysH,+,b2762
cysI,+,b2763
cysJ,+,b2764
cysH,+,b2762
cysI,+,b2763
cysJ,+,b2764
cysK,+,b2414
cysM,+,b2421
cysA,+,b2422
cysW,+,b2423
cysU,+,b2424
cysP,+,b2425
cysM,-,b2421
cysA,-,b2422
cysW,-,b2423
cysU,-,b2424
cysP,-,b2425
cytR,+,b3934
cytR,-,b3934
cytR,-,b3934
cytR,-,b3934
cytR,-,b3934
dacC,-,b0839
dacC,+,b0839
dadX,+,b1190
dadA,+,b1189
dadX,-,b1190
dadA,-,b1189
dadX,+,b1190
dadA,+,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadA,+,b1189
dadX,+,b1190
dadA,+,b1189
dadX,+,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadX,+,b1190
dadA,+,b1189
dadX,+,b1190
dadA,+,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dadX,-,b1190
dadA,-,b1189
dapB,+,b0031
dapB,+,b0031
dapD,+,b0166
dctA,+,b3528
dctA,+,b3528
dctA,-,b3528
fumB,+,b4122
dcuB,+,b4123
fumB,+,b4122
dcuB,+,b4123
fumB,-,b4122
dcuB,-,b4123
fumB,-,b4122
dcuB,-,b4123
fumB,-,b4122
dcuB,-,b4123
fumB,-,b4122
dcuB,-,b4123
fumB,-,b4122
dcuB,-,b4123
fumB,-,b4122
dcuB,-,b4123
fumB,+,b4122
dcuB,+,b4123
fumB,+,b4122
dcuB,+,b4123
dcuC,+,b0621
dcuC,+,b0621
dcuC,+,b0621
dcuC,+,b0621
dcuD,-,b3227
dcuD,+,b3227
dcuR,+,b4124
dcuR,+,b4124
dcuS,+,b4125
dcuR,-,b4124
dcuS,-,b4125
dcuR,-,b4124
dcuS,-,b4125
ddpF,+,b1483
ddpD,+,b1484
ddpC,+,b1485
ddpB,+,b1486
ddpA,+,b1487
ddpX,+,b1488
ddpF,+,b1483
ddpD,+,b1484
ddpC,+,b1485
ddpB,+,b1486
ddpA,+,b1487
ddpX,+,b1488
decR,+,b0447
decR,+,b0447
degP,+,b0161
degP,+,b0161
degP,+,b0161
degP,-,b0161
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
deoC,+,b4381
deoA,+,b4382
deoB,+,b4383
deoD,+,b4384
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
deoC,+,b4381
deoA,+,b4382
deoB,+,b4383
deoD,+,b4384
deoC,+,b4381
deoA,+,b4382
deoB,+,b4383
deoD,+,b4384
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
deoC,-,b4381
deoA,-,b4382
deoB,-,b4383
deoD,-,b4384
dgcZ,+,b1535
dgcZ,+,b1535
dgkA,+,b4042
dgoR,+,b4479
dgoK,+,b3693
dgoA,+,b4477
dgoD,+,b4478
dgoT,+,b3691
dgoR,-,b4479
dgoK,-,b3693
dgoA,-,b4477
dgoD,-,b4478
dgoT,-,b3691
dgoR,-,b4479
dgoK,-,b3693
dgoA,-,b4477
dgoD,-,b4478
dgoT,-,b3691
dhaM,+,b1198
dhaL,+,b1199
dhaK,+,b1200
dhaR,-,b1201
intQ,-,b1579
insD7,-,b1578
ydfE,-,b1577
ydfD,-,b1576
dicB,-,b1575
dicC,-,b1569
ydfX,-,b1568
ydfW,-,b1567
yafP,-,b0234
yafO,-,b0233
yafN,-,b0232
dinB,-,b0231
yafP,-,b0234
yafO,-,b0233
yafN,-,b0232
dinB,-,b0231
dinD,-,b3645
ybiB,-,b0800
dinG,-,b0799
dinI,-,b1061
dinI,-,b1061
dinJ,-,b0226
yafQ,-,b0225
dinJ,-,b0226
yafQ,-,b0225
dinQ,-,b4613
dinQ,-,b4613
dkgB,-,b0207
dkgB,-,b0207
gluQ,-,b0144
dksA,-,b0145
gluQ,-,b0144
dksA,-,b0145
gluQ,-,b0144
dksA,-,b0145
dmsA,-,b0894
dmsB,-,b0895
dmsC,-,b0896
dmsA,-,b0894
dmsB,-,b0895
dmsC,-,b0896
dmsA,-,b0894
dmsB,-,b0895
dmsC,-,b0896
dmsA,+,b0894
dmsB,+,b0895
dmsC,+,b0896
dmsA,-,b0894
dmsB,-,b0895
dmsC,-,b0896
dmsA,-,b0894
dmsB,-,b0895
dmsC,-,b0896
dmsA,-,b0894
dmsB,-,b0895
dmsC,-,b0896
dmsC,-,b0896
dmsB,-,b0895
dmsA,-,b0894
dmsC,-,b0896
dmsB,-,b0895
dmsA,-,b0894
recF,+,b3700
dnaN,+,b3701
dnaA,+,b3702
recF,+,b3700
dnaN,+,b3701
dnaA,+,b3702
recF,+,b3700
dnaN,+,b3701
dnaA,+,b3702
recF,-,b3700
dnaN,-,b3701
dnaA,-,b3702
recF,-,b3700
dnaN,-,b3701
dnaA,-,b3702
recF,-,b3700
dnaN,-,b3701
dnaA,-,b3702
recF,+,b3700
dnaN,+,b3701
dnaA,+,b3702
recF,-,b3700
dnaN,-,b3701
dnaA,-,b3702
recF,-,b3700
dnaN,-,b3701
dnaA,-,b3702
recF,-,b3700
dnaN,-,b3701
dnaA,-,b3702
recF,+,b3700
dnaN,+,b3701
dnaA,+,b3702
recF,+,b3700
dnaN,+,b3701
dnaA,+,b3702
recF,-,b3700
dnaN,-,b3701
dnaA,-,b3702
recF,+,b3700
dnaN,+,b3701
dnaA,+,b3702
recF,-,b3700
dnaN,-,b3701
dnaA,-,b3702
recF,-,b3700
dnaN,-,b3701
dnaA,-,b3702
dpiA,-,b0620
dpiB,-,b0619
dpiA,+,b0620
dpiB,+,b0619
dpiA,+,b0620
dpiB,+,b0619
dpiA,+,b0620
dpiB,+,b0619
dpiA,+,b0620
dpiB,+,b0619
dpiA,-,b0620
dpiB,-,b0619
dpiA,-,b0620
dpiB,-,b0619
dpiA,+,b0620
dpiB,+,b0619
dpiA,+,b0620
dpiB,+,b0619
dpiA,-,b0620
dpiB,-,b0619
dppF,-,b3540
dppD,-,b3541
dppC,-,b3542
dppB,-,b3543
dppA,-,b3544
dppF,+,b3540
dppD,+,b3541
dppC,+,b3542
dppB,+,b3543
dppA,+,b3544
dps,-,b0812
dps,-,b0812
dps,-,b0812
dps,+,b0812
dps,+,b0812
dps,+,b0812
dps,+,b0812
dps,-,b0812
dps,-,b0812
dps,-,b0812
dps,-,b0812
dps,+,b0812
dps,+,b0812
dps,+,b0812
dps,+,b0812
dps,-,b0812
dsbC,+,b2893
dsbC,+,b2893
dsbG,+,b0604
dsbG,+,b0604
dsdA,+,b2366
dsdA,+,b2366
dsdC,-,b2364
dsdC,-,b2364
dsdX,+,b2365
dsdA,+,b2366
dsdX,+,b2365
dsdA,+,b2366
dsdX,+,b2365
dsdA,+,b2366
dsrA,+,b1954
dsrA,-,b1954
dusB,+,b3260
fis,+,b3261
dusB,+,b3260
fis,+,b3261
dusB,-,b3260
fis,-,b3261
dusB,+,b3260
fis,+,b3261
dusB,-,b3260
fis,-,b3261
dusB,-,b3260
fis,-,b3261
dusB,-,b3260
fis,-,b3261
dusB,-,b3260
fis,-,b3261
dusB,-,b3260
fis,-,b3261
dusB,-,b3260
fis,-,b3261
dusB,-,b3260
fis,-,b3261
dusB,+,b3260
fis,+,b3261
dusB,-,b3260
fis,-,b3261
ebgA,+,b3076
ebgC,+,b3077
ebgA,-,b3076
ebgC,-,b3077
ecnB,-,b4411
ecpA,+,b0293
matA,+,b0294
eda,-,b1850
eda,-,b1850
eda,-,b1850
edd,-,b1851
eda,-,b1850
edd,-,b1851
eda,-,b1850
edd,-,b1851
eda,-,b1850
edd,-,b1851
efeU,-,b4490
efp,-,b4147
elaB,-,b2266
elaB,+,b2266
elaB,-,b2266
emrD,+,b3673
emrY,+,b2367
emrK,+,b2368
emrY,+,b2367
emrK,+,b2368
eno,-,b2779
eno,-,b2779
eno,-,b2779
eno,-,b2779
eno,-,b2779
eno,-,b2779
entC,+,b0593
entE,+,b0594
entB,+,b0595
entA,+,b0596
entH,+,b0597
entC,+,b0593
entE,+,b0594
entB,+,b0595
entA,+,b0596
entH,+,b0597
entC,-,b0593
entE,-,b0594
entB,-,b0595
entA,-,b0596
entH,-,b0597
entC,-,b0593
entE,-,b0594
entB,-,b0595
entA,-,b0596
entH,-,b0597
entC,-,b0593
entE,-,b0594
entB,-,b0595
entA,-,b0596
entH,-,b0597
entC,-,b0593
entE,-,b0594
entB,-,b0595
entA,-,b0596
entH,-,b0597
entC,-,b0593
entE,-,b0594
entB,-,b0595
entA,-,b0596
entH,-,b0597
entC,-,b0593
entE,-,b0594
entB,-,b0595
entA,-,b0596
entH,-,b0597
entC,-,b0593
entE,-,b0594
entB,-,b0595
entA,-,b0596
entH,-,b0597
entS,-,b0591
entS,+,b0591
entS,+,b0591
entS,-,b0591
entS,-,b0591
entS,+,b0591
entS,+,b0591
entS,-,b0591
fbaA,+,b2925
pgk,+,b2926
epd,+,b2927
fbaA,-,b2925
pgk,-,b2926
epd,-,b2927
pgk,+,b2926
epd,+,b2927
fbaA,+,b2925
pgk,-,b2926
epd,-,b2927
fbaA,-,b2925
erpA,-,b0156
esrE,+,b4707
evgL,+,b4781
evgS,+,b2370
evgA,+,b2369
evgL,-,b4781
evgS,-,b2370
evgA,-,b2369
evgL,+,b4781
evgS,+,b2370
evgA,+,b2369
evgL,-,b4781
evgS,-,b2370
evgA,-,b2369
exbD,-,b3005
exbB,-,b3006
exbD,-,b3005
exbB,-,b3006
exbD,-,b3005
exuR,-,b3094
exuR,-,b3094
exuR,-,b3094
exuR,-,b3094
exuT,+,b3093
exuT,+,b3093
exuT,+,b3093
exuT,+,b3093
exuT,-,b3093
exuT,-,b3093
fabA,+,b0954
fabA,-,b0954
fabB,+,b2323
fabB,-,b2323
fabH,-,b1091
fabD,-,b1092
fabG,-,b1093
fabH,+,b1091
fabD,+,b1092
fabG,+,b1093
fabI,+,b1288
fadA,-,b3845
fadB,-,b3846
fadA,-,b3845
fadB,-,b3846
fadA,+,b3845
fadB,+,b3846
fadA,-,b3845
fadB,-,b3846
sroD,+,b1805
sroD,-,b1805
sroD,-,b1805
sroD,-,b1805
sroD,+,b1805
fadE,-,b0221
fadE,-,b0221
fadH,-,b3081
fadH,+,b3081
fadH,-,b3081
fadH,-,b3081
fadJ,-,b2341
fadI,-,b2342
fadJ,-,b2341
fadI,-,b2342
fadL,+,b2344
fadL,-,b2344
fadL,-,b2344
fadL,-,b2344
fadL,-,b2344
fadL,-,b2344
fadL,-,b2344
fadL,-,b2344
fadL,+,b2344
fadL,-,b2344
fadL,+,b2344
fadM,-,b0443
fadR,-,b1187
fadR,+,b1187
fbaB,-,b2097
fdhF,+,b4079
fdhF,-,b4079
fdhF,+,b4079
fdhF,+,b4079
fdhF,+,b4079
fdnG,+,b1474
fdnH,+,b1475
fdnI,+,b1476
fdnG,-,b1474
fdnH,-,b1475
fdnI,-,b1476
fdnG,+,b1474
fdnH,+,b1475
fdnI,+,b1476
fdnG,+,b1474
fdnH,+,b1475
fdnI,+,b1476
fdnG,+,b1474
fdnH,+,b1475
fdnI,+,b1476
fdnG,+,b1474
fdnH,+,b1475
fdnI,+,b1476
fdnG,+,b1474
fdnH,+,b1475
fdnI,+,b1476
fdnG,-,b1474
fdnH,-,b1475
fdnI,-,b1476
fdnG,-,b1474
fdnH,-,b1475
fdnI,-,b1476
feaB,+,b1385
feaB,+,b1385
feaB,+,b1385
feaB,-,b1385
feaR,+,b1384
feaR,+,b1384
feaR,+,b1384
feaR,-,b1384
feaR,-,b1384
feaR,-,b1384
fecE,+,b4287
fecD,+,b4288
fecC,+,b4289
fecB,+,b4290
fecA,+,b4291
fecE,+,b4287
fecD,+,b4288
fecC,+,b4289
fecB,+,b4290
fecA,+,b4291
fecE,-,b4287
fecD,-,b4288
fecC,-,b4289
fecB,-,b4290
fecA,-,b4291
fecE,-,b4287
fecD,-,b4288
fecC,-,b4289
fecB,-,b4290
fecA,-,b4291
fecE,-,b4287
fecD,-,b4288
fecC,-,b4289
fecB,-,b4290
fecA,-,b4291
fecE,-,b4287
fecD,-,b4288
fecC,-,b4289
fecB,-,b4290
fecA,-,b4291
fecR,-,b4292
fecI,-,b4293
fecR,-,b4292
fecI,-,b4293
fecR,-,b4292
fecI,-,b4293
fecR,-,b4292
fecI,-,b4293
fecR,-,b4292
fecI,-,b4293
feoC,+,b3410
feoA,+,b3408
feoB,+,b3409
feoC,,b3410
feoA,,b3408
feoB,,b3409
feoC,+,b3410
feoA,+,b3408
feoB,+,b3409
feoC,-,b3410
feoA,-,b3408
feoB,-,b3409
entD,+,b0583
fepA,+,b0584
entD,-,b0583
fepA,-,b0584
entD,-,b0583
fepA,-,b0584
entD,-,b0583
fepA,-,b0584
entD,-,b0583
fepA,-,b0584
entD,-,b0583
fepA,-,b0584
fepB,-,b0592
fepB,-,b0592
fepB,-,b0592
fepB,-,b0592
fepC,-,b0588
fepG,-,b0589
fepD,-,b0590
fepC,-,b0588
fepG,-,b0589
fepD,-,b0590
fepC,-,b0588
fepG,-,b0589
fepD,-,b0590
fepC,-,b0588
fepG,-,b0589
fepD,-,b0590
ybdZ,+,b4511
fes,+,b0585
entF,+,b0586
fepE,+,b0587
ybdZ,+,b4511
fes,+,b0585
entF,+,b0586
fepE,+,b0587
ybdZ,-,b4511
fes,-,b0585
entF,-,b0586
fepE,-,b0587
ybdZ,-,b4511
fes,-,b0585
entF,-,b0586
fepE,-,b0587
ybdZ,-,b4511
fes,-,b0585
entF,-,b0586
fepE,-,b0587
ybdZ,-,b4511
fes,-,b0585
entF,-,b0586
fepE,-,b0587
ybdZ,-,b4511
fes,-,b0585
entF,-,b0586
fepE,-,b0587
fhuA,-,b0150
fhuC,-,b0151
fhuD,-,b0152
fhuB,-,b0153
fhuE,-,b1102
fhuE,-,b1102
fhuF,-,b4367
fhuF,-,b4367
fhuF,-,b4367
fhuF,-,b4367
fhuF,-,b4367
fhuF,-,b4367
fhuF,-,b4367
fhuF,-,b4367
fimR2,+,b4838
fimD,+,b4317
fimH,+,b4320
fimG,+,b4319
fimF,+,b4318
fimC,+,b4316
fimI,+,b4315
fimA,+,b4314
fimR2,+,b4838
fimD,+,b4317
fimH,+,b4320
fimG,+,b4319
fimF,+,b4318
fimC,+,b4316
fimI,+,b4315
fimA,+,b4314
fimR2,+,b4838
fimD,+,b4317
fimH,+,b4320
fimG,+,b4319
fimF,+,b4318
fimC,+,b4316
fimI,+,b4315
fimA,+,b4314
fimR2,+,b4838
fimD,+,b4317
fimH,+,b4320
fimG,+,b4319
fimF,+,b4318
fimC,+,b4316
fimI,+,b4315
fimA,+,b4314
fimR2,+,b4838
fimD,+,b4317
fimH,+,b4320
fimG,+,b4319
fimF,+,b4318
fimC,+,b4316
fimI,+,b4315
fimA,+,b4314
fimR2,+,b4838
fimD,+,b4317
fimH,+,b4320
fimG,+,b4319
fimF,+,b4318
fimC,+,b4316
fimI,+,b4315
fimA,+,b4314
fimR2,+,b4838
fimD,+,b4317
fimH,+,b4320
fimG,+,b4319
fimF,+,b4318
fimC,+,b4316
fimI,+,b4315
fimA,+,b4314
fimR2,+,b4838
fimD,+,b4317
fimH,+,b4320
fimG,+,b4319
fimF,+,b4318
fimC,+,b4316
fimI,+,b4315
fimA,+,b4314
fimB,-,b4312
fimB,+,b4312
fimB,+,b4312
fimB,-,b4312
fimB,+,b4312
fimB,+,b4312
fimB,+,b4312
fimB,+,b4312
fimB,+,b4312
fimB,+,b4312
fimB,+,b4312
fimB,+,b4312
fimE,-,b4313
fimE,+,b4313
fimE,+,b4313
fiu,+,b0805
fiu,-,b0805
fiu,-,b0805
fiu,-,b0805
fiu,-,b0805
fixX,+,b0044
fixC,+,b0043
fixB,+,b0042
fixA,+,b0041
fixX,+,b0044
fixC,+,b0043
fixB,+,b0042
fixA,+,b0041
fixX,+,b0044
fixC,+,b0043
fixB,+,b0042
fixA,+,b0041
fixX,+,b0044
fixC,+,b0043
fixB,+,b0042
fixA,+,b0041
fixX,+,b0044
fixC,+,b0043
fixB,+,b0042
fixA,+,b0041
fixX,+,b0044
fixC,+,b0043
fixB,+,b0042
fixA,+,b0041
fixX,+,b0044
fixC,+,b0043
fixB,+,b0042
fixA,+,b0041
fkpA,+,b3347
uof,+,b4637
fur,+,b0683
fldA,+,b0684
fldB,+,b2895
fldB,+,b2895
flgN,+,b1070
flgM,+,b1071
flgA,+,b1072
flgB,+,b1073
flgC,+,b1074
flgD,+,b1075
flgE,+,b1076
flgF,+,b1077
flgG,+,b1078
flgH,+,b1079
flgI,+,b1080
flgJ,+,b1081
flgN,-,b1070
flgM,-,b1071
flgN,-,b1070
flgM,-,b1071
flhE,+,b1878
flhA,+,b1879
flhB,+,b1880
flhC,+,b1891
flhD,+,b1892
flhC,+,b1891
flhD,+,b1892
flhC,-,b1891
flhD,-,b1892
flhC,-,b1891
flhD,-,b1892
flhC,-,b1891
flhD,-,b1892
flhC,-,b1891
flhD,-,b1892
flhC,-,b1891
flhD,-,b1892
flhC,-,b1891
flhD,-,b1892
flhC,-,b1891
flhD,-,b1892
flhC,-,b1891
flhD,-,b1892
flhC,-,b1891
flhD,-,b1892
flhC,+,b1891
flhD,+,b1892
flhC,-,b1891
flhD,-,b1892
flhC,-,b1891
flhD,-,b1892
flhC,-,b1891
flhD,-,b1892
tcyJ,-,b1920
fliZ,-,b1921
fliA,-,b1922
tcyJ,+,b1920
fliZ,+,b1921
fliA,+,b1922
tcyJ,-,b1920
fliZ,-,b1921
fliA,-,b1922
tcyJ,-,b1920
fliZ,-,b1921
fliA,-,b1922
tcyJ,-,b1920
fliZ,-,b1921
fliA,-,b1922
tcyJ,-,b1920
fliZ,-,b1921
fliA,-,b1922
tcyJ,-,b1920
fliZ,-,b1921
fliA,-,b1922
tcyJ,-,b1920
fliZ,-,b1921
fliA,-,b1922
tcyJ,+,b1920
fliZ,+,b1921
fliA,+,b1922
tcyJ,-,b1920
fliZ,-,b1921
fliA,-,b1922
tcyJ,-,b1920
fliZ,-,b1921
fliA,-,b1922
fliX,+,b4827
fliC,+,b1923
fliX,+,b4827
fliC,+,b1923
fliX,-,b4827
fliC,-,b1923
fliD,+,b1924
fliS,+,b1925
fliT,+,b1926
fliE,-,b1937
fliE,-,b1937
fliE,+,b1937
fliE,-,b1937
fliE,-,b1937
fliK,-,b1943
fliJ,-,b1942
fliI,-,b1941
fliH,-,b1940
fliG,-,b1939
fliF,-,b1938
fliK,-,b1943
fliJ,-,b1942
fliI,-,b1941
fliH,-,b1940
fliG,-,b1939
fliF,-,b1938
fliK,-,b1943
fliJ,-,b1942
fliI,-,b1941
fliH,-,b1940
fliG,-,b1939
fliF,-,b1938
fliK,+,b1943
fliJ,+,b1942
fliI,+,b1941
fliH,+,b1940
fliG,+,b1939
fliF,+,b1938
fliL,+,b1944
fliM,+,b1945
fliN,+,b1946
fliO,+,b1947
fliP,+,b1948
fliQ,+,b1949
fliR,+,b1950
isrC,-,b4435
flu,-,b2000
isrC,-,b4435
flu,-,b2000
isrC,-,b4435
flu,-,b2000
isrC,+,b4435
flu,+,b2000
isrC,+,b4435
flu,+,b2000
isrC,+,b4435
flu,+,b2000
flxA,+,b1566
fnr,-,b1334
fnr,-,b1334
fnr,+,b1334
fnr,-,b1334
fnrS,+,b4699
pflB,+,b0903
focA,+,b0904
pflB,+,b0903
focA,+,b0904
pflB,+,b0903
focA,+,b0904
pflB,+,b0903
focA,+,b0904
pflB,+,b0903
focA,+,b0904
pflB,+,b0903
focA,+,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,+,b0903
focA,+,b0904
pflB,+,b0903
focA,+,b0904
pflB,+,b0903
focA,+,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
pflB,-,b0903
focA,-,b0904
folA,+,b0048
