locus,growth rate,concentration
ori, 0.3124950864428705, 560.9366847962035
ori, 0.31052966359107764, 534.7529642150101
ori, 0.4518542871232641, 560.7780215696224
ori, 0.4120598346186008, 482.2654535838592
ori, 0.41188830680608074, 427.61669251495505
ori, 0.4514969375138472, 446.92643600940545
ori, 0.5927536646202445, 451.31969210757654
ori, 0.5926107247764778, 405.7790578834897
ori, 0.7524532050686468, 331.5932789685461
ori, 0.7507021919825043, 373.72050972348285
ori, 0.9014000957696953, 386.0726563225866
ori, 0.9013179053595295, 359.88679164373673
ter, 0.28195241532601, 430.04166696445805
ter, 0.2817165645837949, 354.89962049471484
ter, 0.44169841122363646, 325.11595994825575
ter, 0.4509466191153452, 271.5949942466713
ter, 0.601551612004088, 254.34572860011866
ter, 0.6013836576876621, 200.8354833868167
ter, 0.7501554470800964, 199.5275838163509
ter, 0.7501340061035313, 192.69648868273788
ter, 0.8988164580936113, 162.9256927222179
ter, 0.8987735761404811, 149.26350245499185
