Growth rate,K,locus
0.2773761459174455, 0.8305324656818507, essQ
0.4391583147294913, 0.8234075903671685, essQ
0.5975110435567377, 1.2154942288509951, essQ
0.7472664228375994, 1.11529948225906, essQ
0.896242815750723, 1.33293117370446, essQ
0.2777086400987976, 0.6948748396903057, nth
0.4485346506436132, 0.9978625374055956, nth
0.5981190329169239, 0.9674345698950266, nth
0.7471429249988111, 1.1656866004844915, nth
0.8964043129245223, 1.2670403267942811, nth
0.30694912839025346, 0.7647556167767062, ravA
0.40696337814088146, 0.958941718519926, ravA
0.44874364698617786, 0.9125920296394816, ravA
0.5884577019902153, 0.9092575879922102, ravA
0.7469814278250118, 1.2315774473946703, ravA
0.8967273072721209, 1.1352586329739234, ravA
0.309485584002279, 0.7298817270697766, atpI
0.40723887331971653, 0.846539685555503, atpI
0.4491996390063173, 0.7265472854225052, atpI
0.5882202061463921, 1.0061558922718854, atpI
0.7473519213413748, 1.0804160927183775, atpI
0.8969078041134262, 1.06161592172137, atpI
