Gene names,Mori sector,wt_mass_fraction_poor,wt_mass_fraction_rich,rela_mass_fraction_poor,rela_mass_fraction_rich,wt_mass_fraction_poor_err,wt_mass_fraction_rich_err,rela_mass_fraction_poor_err,rela_mass_fraction_rich_err
metG,A,0.0014290992435961485,0.0014200582251719081,0.0015532898852683476,0.0015917875276642095,2.2704076747473633e-05,4.224329902558768e-06,7.305005704927846e-05,4.320610975607506e-05
glyQ,R,0.00045411741397418184,0.000553540918690439,0.00048095988333095866,0.0005657109030714207,1.291517490289144e-06,2.263217964964127e-06,1.37230955786298e-05,2.4901448897134712e-05
glyS,U,0.0016625135305601666,0.0018355141563950051,0.0019545880594379166,0.0020483073458080507,2.645357587210723e-05,5.07489544462308e-05,8.712419010809794e-06,6.0207091414979375e-05
glnS,U,0.0008592056808975547,0.0011192372828277416,0.0008158043797904543,0.000894604242221392,1.1956328673787926e-05,1.0598536023913308e-06,1.8653091722522738e-05,4.566034228576309e-06
asnA,A,0.0006179946081381724,0.0014478987806279913,0.00045401588246133236,0.00035457348605908193,1.3567109709267632e-07,0.0003856085163558786,2.665234263338277e-06,1.1996835320072157e-05
carB,A,0.00342082767445765,0.003367840541530676,0.001987830231054512,0.0023648347731764488,2.8679110934318143e-05,7.371822979427862e-05,4.8109110686321175e-05,1.9432965164950565e-05
rpsF,R,0.002338243988884362,0.0027217628416383267,0.0018359978720561261,0.0017624450423875935,5.8656903007096644e-05,3.287389982590421e-05,2.7045418375331188e-05,1.6362886407471854e-05
rpsG,R,0.004998022989889535,0.0048523431870793245,0.0035252780060806574,0.003154834699800841,3.1268431791619915e-05,0.00011545994330888027,1.1563892414392842e-05,6.210990775880072e-05
rplO,R,0.00163413160652841,0.002400363235158887,0.0014638238512617214,0.0010935470115184282,0.0001762937906317686,8.35258776525306e-05,4.8807261084286456e-05,2.0796147580737136e-05
mrcA,R,0.000231389605777706,0.00022857229889607883,0.0002193640653137393,0.00017687685898128556,7.439816668230201e-06,1.5226439545484773e-05,6.306535823156169e-05,7.254604606285849e-06
araF,S,6.746135851874659e-06,6.313045695487911e-06,3.0480432509931235e-06,3.17074371320947e-06,8.771365615961265e-07,4.6422825476779253e-07,3.876159549680468e-07,7.69441142398343e-07
rbsB,C,0.0024506765513716486,0.0021453430545846416,0.001227691161642785,0.0010134996721200703,5.7340232714332305e-05,1.2037292086100647e-05,1.1419495039839233e-05,3.882691225937546e-05
tonB,U,6.355960798093688e-05,2.985898024696823e-05,4.53332512768778e-05,3.325962077712517e-05,2.9648981951360632e-06,1.7580108599936286e-06,6.39019606006016e-07,3.702857124726422e-06
tolC,A',0.0009597027156214238,0.0012433193729744956,0.0009983493781580688,0.001385017517438796,5.5142137715016686e-06,5.735809794729261e-05,9.419448536976969e-06,1.2519612715070094e-05
ompF,C',0.0029568136998086416,0.0025634087128218143,0.005573599097463412,0.0048221557354448516,3.798238568761053e-05,8.557318646222243e-05,0.0002666294460900295,0.0003275339431143519
tsr,U,0.003809446834783869,0.003030098390125026,8.365506085199769e-05,0.00016088661001810624,0.00011412029601771435,2.5189353424478382e-05,4.138646464194806e-05,2.1499397689540294e-05
dnaA,R,0.0001268071320083682,0.00017473586646384184,0.00013658350732544117,0.00016789913118982994,3.797634970553897e-06,5.1445857930982095e-06,3.991482684582621e-06,3.7867436624366106e-06
dnaQ,C,3.466580919789931e-05,0.0002389160961383594,6.338154875136876e-06,2.6730968124599154e-05,7.760467691946376e-07,7.877248267858263e-06,1.6039238400007633e-07,1.0297085685476989e-05
uvrD,C',4.683488396334377e-05,0.00016421374712074826,6.262334630583125e-05,0.0001006516292817777,5.0178844273862566e-06,8.743879267872658e-05,2.69174029850657e-07,1.6084619136243498e-08
lacI,S',6.793482710374341e-05,4.512717911033007e-05,0.02201347032290839,0.028814098125922463,6.438349031006484e-07,5.40287937425289e-06,0.0005720862958246073,0.001032722763453951
